batch,d_loss,g_loss,d_real,d_fake,wasserstein_distance
16001,-0.6510575413703918,0.7386468648910522,0.2886923551559448,-0.5625389218330383,0.8512312769889832
16006,-0.8292241096496582,1.4003604650497437,-0.6064120531082153,-1.657608985900879,1.0511969327926636
16011,-0.30284154415130615,0.08736387640237808,-0.1626206785440445,-0.7555807828903198,0.5929601043462753
16016,-0.6613837480545044,-0.06867626309394836,0.4357154965400696,-0.4263729155063629,0.8620884120464325
16021,-0.1249387264251709,0.6396538615226746,0.06147310882806778,-0.42647454142570496,0.48794765025377274
16026,-0.6196855306625366,0.6587658524513245,0.14828631281852722,-0.7130630016326904,0.8613493144512177
16031,-0.7298173904418945,0.6496215462684631,0.06868010759353638,-0.850826621055603,0.9195067286491394
16036,0.06469276547431946,-0.33968836069107056,0.6200692057609558,0.3461421728134155,0.2739270329475403
16041,-0.6853595972061157,-0.22682839632034302,1.439394235610962,0.5365353226661682,0.9028589129447937
16046,-0.31278979778289795,0.49810510873794556,0.22388800978660583,-0.4037818908691406,0.6276699006557465
16051,-0.4713461399078369,-0.8630608916282654,0.9467877149581909,0.22567632794380188,0.721111387014389
16056,-0.025733381509780884,0.23059791326522827,0.8975286483764648,0.5900479555130005,0.30748069286346436
16061,-0.8081586956977844,0.1775619387626648,1.3720040321350098,0.3323027491569519,1.0397012829780579
16066,-0.3201024830341339,0.6326194405555725,0.2623040974140167,-0.42600536346435547,0.6883094608783722
16071,-0.1600523442029953,1.4419076442718506,-0.9530597925186157,-1.2856489419937134,0.33258914947509766
16076,-0.18433403968811035,0.671318769454956,-0.3715687692165375,-0.7554492354393005,0.38388046622276306
16081,-0.5150361061096191,1.3126888275146484,0.003122754395008087,-0.7540404796600342,0.7571632340550423
16086,-0.03576439619064331,0.5731373429298401,-0.4790034890174866,-0.7667617797851562,0.2877582907676697
16091,-0.20419353246688843,1.0676482915878296,0.27125561237335205,-0.23252765834331512,0.5037832707166672
16096,-0.6421169638633728,1.0291739702224731,-0.14623036980628967,-0.9741838574409485,0.8279534876346588
16101,-0.032016247510910034,0.8571985960006714,-0.42560750246047974,-0.6780915260314941,0.2524840235710144
16106,-0.6267024874687195,0.24814996123313904,0.5920826196670532,-0.30317848920822144,0.8952611088752747
16111,-0.6215821504592896,0.2663211226463318,0.8901607394218445,-0.01535734161734581,0.9055180810391903
16116,-0.26392143964767456,0.6352102160453796,0.48000168800354004,-0.04661422595381737,0.5266159139573574
16121,-0.5876967906951904,-0.7203835844993591,0.9374439716339111,0.13362479209899902,0.8038191795349121
16126,-0.8195158243179321,-0.9280911684036255,1.4822725057601929,0.4588989019393921,1.0233736038208008
16131,-0.45264288783073425,-0.14495635032653809,0.7977660894393921,0.05459900200366974,0.7431670874357224
16136,-0.4011179208755493,-0.5149283409118652,1.343360424041748,0.6241510510444641,0.7192093729972839
16141,-0.09832271933555603,0.6622564196586609,-0.08550474792718887,-0.382898211479187,0.29739346355199814
16146,-0.5053503513336182,0.5626170039176941,-0.22328656911849976,-1.0202181339263916,0.7969315648078918
16151,-0.48949217796325684,0.5943822860717773,-0.19943875074386597,-1.0026037693023682,0.8031650185585022
16156,-0.05658435821533203,0.48319777846336365,0.25690531730651855,-0.12331891059875488,0.38022422790527344
16161,-0.4810052812099457,0.3833554983139038,0.9030592441558838,0.2561011016368866,0.6469581425189972
16166,-0.44041070342063904,0.30875831842422485,0.6196621060371399,-0.10411933064460754,0.7237814366817474
16171,-0.10900747776031494,1.291975975036621,-0.27119964361190796,-0.6757547855377197,0.40455514192581177
16176,-0.3281729817390442,2.5392658710479736,-1.8997464179992676,-2.4736833572387695,0.573936939239502
16181,-0.08914273977279663,0.5354644060134888,-0.6033158898353577,-0.9231143593788147,0.31979846954345703
16186,-0.3420035243034363,1.4763498306274414,-0.8410832285881042,-1.4095669984817505,0.5684837698936462
16191,-0.29779377579689026,0.08446606993675232,-0.3991338312625885,-0.8719061613082886,0.4727723300457001
16196,-0.4346819519996643,-0.689690351486206,1.3179916143417358,0.5836840271949768,0.734307587146759
16201,-0.048201173543930054,0.8755000233650208,0.7485894560813904,0.42163798213005066,0.3269514739513397
16206,-0.5922760963439941,0.5027551054954529,-0.34019535779953003,-1.1806609630584717,0.8404656052589417
16211,-0.32262319326400757,1.158280611038208,-0.4151107668876648,-0.9849790334701538,0.569868266582489
16216,-0.4842895269393921,1.3091633319854736,-0.6696863174438477,-1.4022226333618164,0.7325363159179688
16221,-0.18961048126220703,-0.6988436579704285,0.793093204498291,0.3668767809867859,0.4262164235115051
16226,-0.4868212044239044,0.5341142416000366,0.17658399045467377,-0.6051297187805176,0.7817137092351913
16231,-0.5997480154037476,0.7656872868537903,0.4983444809913635,-0.33564746379852295,0.8339919447898865
16236,-0.9068087339401245,0.175456702709198,0.9119541645050049,-0.28503096103668213,1.196985125541687
16241,-0.2643371522426605,1.2670886516571045,-0.24157461524009705,-0.8015546798706055,0.5599800646305084
16246,-0.31925565004348755,2.3982338905334473,-1.5228022336959839,-2.0957369804382324,0.5729347467422485
16251,-0.5169243812561035,0.9943864941596985,-0.33744075894355774,-1.1017155647277832,0.7642748057842255
16256,-0.582087516784668,1.0462744235992432,-0.7620684504508972,-1.54213285446167,0.7800644040107727
16261,-0.22992107272148132,1.4213736057281494,-0.39283469319343567,-0.894195020198822,0.5013603270053864
16266,-0.47233670949935913,1.5856726169586182,-1.0412203073501587,-1.761592984199524,0.7203726768493652
16271,-0.14538617432117462,0.3940625488758087,0.12115965783596039,-0.22376251220703125,0.34492217004299164
16276,-0.582167387008667,0.6228628158569336,0.501015305519104,-0.2828034460544586,0.7838187515735626
16281,-0.2622755467891693,0.5169520378112793,0.08145709335803986,-0.427829384803772,0.5092864781618118
16286,-0.2911865711212158,1.103609323501587,-0.26111340522766113,-0.7254964113235474,0.46438300609588623
16291,0.064787358045578,0.6744123101234436,-0.6017013788223267,-0.8171755075454712,0.21547412872314453
16296,-0.6047366857528687,2.8954579830169678,-1.1608524322509766,-2.0089287757873535,0.848076343536377
16301,-0.4376971423625946,1.3206775188446045,-0.5994629859924316,-1.3254286050796509,0.7259656190872192
16306,-0.15690365433692932,-0.20462088286876678,0.3683697283267975,-0.09160361438989639,0.4599733427166939
16311,-0.7966172695159912,-0.13345623016357422,0.41417837142944336,-0.6820034980773926,1.096181869506836
